,Date,cases,recovered,deaths,tests
0,"Feb 24, 2020",132,1,2,4324
1,"Feb 25, 2020",229,1,6,8623
2,"Feb 26, 2020",322,3,11,9587
3,"Feb 27, 2020",400,45,12,12014
4,"Feb 28, 2020",650,46,17,15695
5,"Feb 29, 2020",888,46,21,18661
6,"Mar 1, 2020",1128,83,29,21127
7,"Mar 2, 2020",1689,149,35,23345
8,"Mar 3, 2020",2036,160,52,25856
9,"Mar 4, 2020",2502,276,80,29837
10,"Mar 5, 2020",3089,414,107,32362
11,"Mar 6, 2020",3858,523,148,36359
12,"Mar 7, 2020",4636,589,197,42062
13,"Mar 8, 2020",5883,622,233,49937
14,"Mar 9, 2020",7375,724,366,53826
15,"Mar 10, 2020",9172,724,464,60761
16,"Mar 11, 2020",10149,1045,631,73154
17,"Mar 12, 2020",12462,1045,827,86011
18,"Mar 13, 2020",15113,1439,1016,97488
19,"Mar 14, 2020",17660,1966,1268,109170
20,"Mar 15, 2020",21157,2335,1441,124899
21,"Mar 16, 2020",23980,2749,1811,137962
22,"Mar 17, 2020",27980,2941,2158,148657
23,"Mar 18, 2020",31506,4025,2505,165541
24,"Mar 19, 2020",35713,4440,2978,182777
25,"Mar 20, 2020",41035,4440,3407,206886
26,"Mar 21, 2020",47021,6072,4032,233222
27,"Mar 22, 2020",53578,7024,4827,258402
28,"Mar 23, 2020",59138,7024,5476,275468
29,"Mar 24, 2020",63927,8326,6077,296964
30,"Mar 25, 2020",69176,9362,6820,324445
31,"Mar 26, 2020",74386,10361,7505,361060
32,"Mar 27, 2020",80539,10950,8165,394079
33,"Mar 28, 2020",86498,12384,9136,429526
34,"Mar 29, 2020",92472,13030,10023,454030
35,"Mar 30, 2020",97689,14620,10781,477359
36,"Mar 31, 2020",101739,15729,11591,506968
37,"Apr 1, 2020",105792,16847,12430,541423
38,"Apr 2, 2020",110574,18278,13157,581232
39,"Apr 3, 2020",115242,19758,13917,619849
40,"Apr 4, 2020",119827,20996,14681,657224
41,"Apr 5, 2020",124632,21815,15362,691461
42,"Apr 6, 2020",128948,22837,15889,721732
43,"Apr 7, 2020",132547,24392,16525,755445
44,"Apr 8, 2020",135586,26491,17129,807125
45,"Apr 9, 2020",139422,28470,17669,853369
46,"Apr 10, 2020",143626,30455,18281,906864
47,"Apr 11, 2020",147577,32534,18851,963473
48,"Apr 12, 2020",152271,34211,19470,1010193
49,"Apr 13, 2020",156363,35435,19901,1046910
50,"Apr 14, 2020",159516,37130,20465,1073689
51,"Apr 15, 2020",162488,38092,21069,1117404
52,"Apr 16, 2020",165155,40164,21647,1178403
53,"Apr 17, 2020",168941,42727,22172,1244108
54,"Apr 18, 2020",172434,44927,22747,1305833
55,"Apr 19, 2020",175925,47055,23227,1356541
56,"Apr 20, 2020",178972,48877,23660,1398024
57,"Apr 21, 2020",181228,51600,24114,1450150
58,"Apr 22, 2020",183957,54543,24648,1513251
59,"Apr 23, 2020",187327,57576,25085,1579909
60,"Apr 24, 2020",189973,60498,25549,1642356
61,"Apr 25, 2020",192994,63120,25969,1707743
62,"Apr 26, 2020",195351,64928,26384,1757659
63,"Apr 27, 2020",197675,66624,26644,1789662
64,"Apr 28, 2020",199414,68941,26977,1846934
65,"Apr 29, 2020",201505,71252,27359,1910761
66,"Apr 30, 2020",203591,75945,27682,1979217
67,"May 1, 2020",205463,78249,27967,2053425
68,"May 2, 2020",207428,79914,28236,2108837
